timestamp,steering_angle,throttle,speed
02:05.342,0.0006148312240839005,0.15904488631122232,14.9106
02:05.573,0.009812822565436363,0.10575665645480935,15.154
02:05.806,-0.044564053416252136,0.12836248900759725,15.061
02:06.051,-0.023417556658387184,0.1446171011282576,14.9704
02:06.363,-0.06352536380290985,0.16293873194340522,14.8474
02:06.662,-0.04601751267910004,0.16535348781773127,14.7776
02:06.936,-0.02639082632958889,0.1165499231277442,15.0055
02:07.206,0.00971074216067791,0.10895111328874611,15.0746
02:07.432,0.010640056803822517,0.09355816601863053,15.1926
02:07.637,0.04372222721576691,0.07750227437071924,15.3211
02:07.821,0.026414042338728905,0.14196893909907057,15.0405
02:07.970,0.039183109998703,0.10352083804316718,15.2163
02:08.127,0.013484662398695946,0.1251561171312893,15.1275
02:08.271,-0.0031550023704767227,0.14490001028053662,15.0281
02:08.409,0.03289642930030823,0.13594459943576087,15.0537
02:08.544,-0.012427764013409615,0.19278022225277897,14.7708
02:08.683,-0.04701317846775055,0.18219273802819705,14.7687
02:08.822,-0.04845158010721207,0.16951800171453454,14.7879
02:08.960,-0.037341371178627014,0.11127837698264341,15.0403
02:09.103,-0.045547448098659515,0.13726412206487232,14.932
02:09.254,-0.001804674044251442,0.07486814054353176,15.229
02:09.394,-0.013358375057578087,0.06878618833261943,15.3067
02:09.531,-0.02902093715965748,0.08532906523643057,15.2754
02:09.682,-0.06626106798648834,0.08919859043725312,15.288
02:09.810,-0.03562372177839279,0.1634752342091811,14.9529
02:09.950,-0.08112695068120956,0.13014095764299938,15.0817
02:10.107,-0.11421553790569305,0.19163899301602016,14.7781
02:10.365,-0.16572359204292297,0.18985242880156825,14.7185
02:10.641,-0.1471766233444214,0.16096424676126522,14.7921
02:10.904,-0.1573384404182434,0.11526086102429997,15.008
02:11.171,-0.11379045248031616,0.08709103484454216,15.1922
02:11.487,-0.05319761484861374,0.09699139817296144,15.2018
02:11.777,0.026467880234122276,0.054736887693955245,15.4968
02:12.065,0.005939951166510582,0.08303668199903982,15.4384
02:12.324,0.005955969914793968,0.1603549228863435,15.0496
02:12.532,-0.057767875492572784,0.12803115299365342,15.1647
02:12.718,-0.008728982880711555,0.17370714899202855,14.9166
02:12.865,-0.030435042455792427,0.18921100497539783,14.7832
02:13.003,-0.06176530569791794,0.16515395964187776,14.8465
02:13.139,-0.04455157369375229,0.20354780298661213,14.6328
02:13.274,-0.06431613862514496,0.16816913827150717,14.746
02:13.400,-0.10341484099626541,0.15163431160185814,14.7997
02:13.527,-0.09291116893291473,0.08513926671775512,15.1054
02:13.652,-0.12121760845184326,0.1077419501954758,15.0349
02:13.795,-0.1644439995288849,0.11013341879401523,15.0424
02:13.924,-0.13472534716129303,0.10169340745193332,15.102
